    PID TTY          TIME CMD
      1 ?        00:00:01 systemd
      2 ?        00:00:00 kthreadd
      3 ?        00:00:00 rcu_gp
      4 ?        00:00:00 rcu_par_gp
      5 ?        00:00:00 kworker/0:0-events
      6 ?        00:00:00 kworker/0:0H-events_highpri
      8 ?        00:00:00 mm_percpu_wq
      9 ?        00:00:00 rcu_tasks_rude_
     10 ?        00:00:00 rcu_tasks_trace
     11 ?        00:00:00 ksoftirqd/0
     12 ?        00:00:01 rcu_sched
     13 ?        00:00:00 migration/0
     14 ?        00:00:00 kworker/0:1-events
     15 ?        00:00:00 cpuhp/0
     16 ?        00:00:00 cpuhp/1
     17 ?        00:00:00 migration/1
     18 ?        00:00:00 ksoftirqd/1
     19 ?        00:00:00 kworker/1:0-events
     20 ?        00:00:00 kworker/1:0H-events_highpri
     21 ?        00:00:00 cpuhp/2
     22 ?        00:00:00 migration/2
     23 ?        00:00:00 ksoftirqd/2
     24 ?        00:00:00 kworker/2:0-ata_sff
     25 ?        00:00:00 kworker/2:0H-events_highpri
     26 ?        00:00:00 cpuhp/3
     27 ?        00:00:00 migration/3
     28 ?        00:00:00 ksoftirqd/3
     30 ?        00:00:00 kworker/3:0H-events_highpri
     32 ?        00:00:00 kworker/u8:1-events_unbound
     33 ?        00:00:00 kworker/u8:2-events_unbound
     34 ?        00:00:00 kdevtmpfs
     35 ?        00:00:00 netns
     36 ?        00:00:00 kauditd
     37 ?        00:00:00 khungtaskd
     38 ?        00:00:00 oom_reaper
     39 ?        00:00:00 writeback
     40 ?        00:00:00 kcompactd0
     41 ?        00:00:00 ksmd
     42 ?        00:00:00 khugepaged
     61 ?        00:00:00 kintegrityd
     62 ?        00:00:00 kblockd
     63 ?        00:00:00 blkcg_punt_bio
     64 ?        00:00:00 edac-poller
     65 ?        00:00:00 devfreq_wq
     66 ?        00:00:00 kworker/3:1-events
     67 ?        00:00:00 kworker/0:1H-kblockd
     70 ?        00:00:00 kswapd0
     71 ?        00:00:00 kthrotld
     72 ?        00:00:00 acpi_thermal_pm
     73 ?        00:00:00 ipv6_addrconf
     75 ?        00:00:00 kworker/1:1H-kblockd
     83 ?        00:00:00 kstrp
     86 ?        00:00:00 zswap-shrink
     87 ?        00:00:00 kworker/u9:0
    125 ?        00:00:00 kworker/3:1H-kblockd
    126 ?        00:00:00 ata_sff
    129 ?        00:00:00 scsi_eh_0
    131 ?        00:00:00 scsi_tmf_0
